Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"C1, C10, C100, C103, C104, C105, C106, C108, C109, C11, C110, C111, C112, C113, C118, C119, C12, C120, C121, C122, C123, C124, C125, C126, C127, C128, C129, C13, C130, C131, C132, C14, C21, C22, C23, C31, C34, C35, C37, C38, C39, C40, C41, C42, C43, C44, C45, C46, C50, C51, C53, C55, C56, C57, C58, C59, C6, C60, C61, C62, C63, C64, C65, C67, C69, C70, C71, C75, C77, C8, C80, C82, C83, C84, C86, C87, C89, C9, C90, C92, C93, C95, C96, C97, C98, C99",0201,86,0.1uF,
"C101, C102, C33, C36, C49, C54, C66, C74, C85, C88, C91",0402,11,1uF,
"C107, C24, C25, C32, C52, C79, C94",0201,7,0.01uF,
"C114, C115, C116, C117",0402,4,4.7uF,
"C15, C16, C17, C2, C68, C7",0402,6,10uF,
"C18, C19, C47, C48, C72, C73",0201,6,30pF,
"C20, C3, C4, C5",0603,4,22uF,
D1,D_SOD-523,1,LESD5D5-0CT1G,
D2,0402,1,XL-1005UBC,
"D3, D4, D5, D6, D7",DFN-2L,5,TT0401TBX,
"GND_2, GND",TestPoint_THTPad_D2.5mm_Drill1.2mm,2,RH-5001,
IC1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,MT9700,
IC2,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,1,SL2.1s,
IC4,QFN50P500X500X60-33N_handsolder,1,LCMXO2-1200HC-4SG32I,https://www.lcsc.com/product-detail/Programmable-Logic-Device-CPLDs-FPGAs_Lattice-LCMXO2-1200HC-4SG32I_C1551142.html
IC5,MTS4P,1,MTS4P,
IC6,SON50P300X200X60-9N_handsolder,1,XT25F32FDTIGT,
J1,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,1,GT-USB-7010ASV,
"J11, J6, J7, J8, J9",PinHeader_2x03_P2.54mm_Vertical,5,Conn_02x03_Odd_Even,
J12,1.0-3PWB,1,1.0-3PWB,
J13,CONN_HB9500-9.5-4P_KAN,1,HB9500M-9.5-4P,
J14,TF-CARD_H1.8_SY,1,TF-CARD_H1.8_SY,
J15,HC-FPC-0.5-12P-CXH20,1,HC-FPC-0.5-12P-CXH20,
"J2, J3, J4, J5",WJ126V-5.0-2P,4,WJ126V-5.0-2P,
"L1, L2, L4, L5, L6, L7, L8, L9",0402,8,HCB1005KF-121T20,
L10,AOTA-B201610S3R3-101-T,1,3.3uH,
L3,FTC252012S1R5MBCA,1,1.5uH,
"OUT_2, OUT",TestPoint_THTPad_D2.5mm_Drill1.2mm,2,RH-5117,
"Q1, Q2, Q4",SOT-23_Handsoldering,3,L2N7002SLLT1G,
"R1, R101, R105, R107, R108, R112, R113, R114, R12, R23, R24, R25, R3, R48, R50, R51, R53, R55, R56, R58, R60, R63, R64, R66, R86, R88, R89, R90, R91, R92",0201,30,10k,
"R10, R11",0201,2,5.1k,
"R100, R102, R111, R2, R26, R27, R29, R36, R5",0201,9,4.7k,
"R103, R14, R15, R22, R32, R46, R47, R59, R61, R9, R94, R95, R98",0201,13,30,
"R104, R106",0402,2,30,
"R109, R110, R17, R18, R28, R35, R49, R54, R57, R71, R76, R77, R78, R79, R80, R81, R93",0201,17,2.2k,
"R16, R21, R30, R34, R37, R41, R42, R45",0201,8,1M,
"R19, R20, R31, R33, R38, R39, R40, R43, R44, R67, R68, R69, R72, R73, R74, R75",0201,16,240,
R4,0201,1,100k,
R52,0201,1,12k,
"R6, R87, R99",0201,3,1k,
"R62, R70",0201,2,100,
R65,0201,1,0,
R7,0201,1,3.6k,
R8,0201,1,22k,
"R82, R83, R84, R85, R96, R97",0201,6,510,
S1,SW_SKRPACE010,1,SKRPACE010,
SW1,QS-301-AGS5P,1,QS-301-AGS5P,
SW3,DS-04R,1,DS-04R,
U1,TSOT-23-5,1,RT5752AHGJ5,
"U10, U3, U6",CRYSTAL-SMD_4P-L2.5-W2.0-BL,3,RQ12000160,
U11,QFN-60-1EP_7x7mm_P0.4mm_EP3.4x3.4mm,1,RP2350_60QFN,
"U12, U17, U5",SOT-23-THIN-16_DYY_TEX,3,TMUX1574DYYR,https://www.lcsc.com/product-detail/Analog-Switches-Multiplexers_Texas-Instruments-TMUX1574DYYR_C1855769.html
U13,ESP-12E,1,ESP-12F,
U14,SOT-23-6,1,MCP4725xxx-xCH,
"U15, U16",SO-8_3.9x4.9mm_P1.27mm,2,CC6920SO-10A,
"U19, U20, U22, U23",SOT-23-5,4,LMV321ATDTR,
U2,DBZ0003A_N,1,TLV803SDBZR,
"U21, U4, U7",DGS0010A_M,3,ADS1115IDGSR,
U8,LQFP-64_10x10mm_P0.5mm,1,FT2232HL,
U9,93LC56BT-I,1,93LC56BT-I,
